variable,path,filename,datetime,date,year,month,day,hour_utc,minute_utc,second_utc,local_utc_offset_hours,local_hour,time_bin,parsed_token,date_parse_method,date_parse_ok,crs,epsg,original_width,original_height,driver,dtype,nodata,bounds,mean,median,min,max,std,p05,p25,p75,p95,valid_pixel_count,valid_aoi_pixel_count,total_aoi_pixel_count,total_pixel_count,coverage_inside_aoi_percent,coverage_percent,pixel_size_x,pixel_size_y,aoi_footprint_pixel_count,read_ok,error,footprint_fraction_of_full_aoi
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20190609T122043_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20190609T122043_aid0001_32N.tif,2019-06-09T12:20:43,2019-06-09,2019,6,9,12,20,43,2,14.0,midday_afternoon,20190609T122043,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0909225195646286,-0.1278630495071411,-0.1465757489204406,0.5337568521499634,0.1092811301350593,-0.1405932754278183,-0.135238766670227,-0.1206664592027664,0.1436963826417923,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20190613T103920_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20190613T103920_aid0001_32N.tif,2019-06-13T10:39:20,2019-06-13,2019,6,13,10,39,20,2,12.0,midday_afternoon,20190613T103920,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0009368279133923,0.0009249339927919,0.0009223166853189,0.0009965224890038,2.5602446839911863e-05,0.0009223178494721,0.0009224454406648,0.0009392793290317,0.0009964683558791,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20190613T103920_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20190613T103920_aid0001_32N.tif,2019-06-13T10:39:20,2019-06-13,2019,6,13,10,39,20,2,12.0,midday_afternoon,20190613T103920,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0148542653769254,-0.0710526183247566,-0.0922560170292854,0.665433943271637,0.1480166316032409,-0.0892960429191589,-0.0745544582605362,-0.0548066794872283,0.2910445630550384,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20190614T144037_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20190614T144037_aid0001_32N.tif,2019-06-14T14:40:37,2019-06-14,2019,6,14,14,40,37,2,16.0,evening,20190614T144037,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0088826939463615,0.008720451965928,0.0063181011937558,0.0100443242117762,0.0010106774279847,0.0071534975431859,0.0082082096487283,0.010042455047369,0.0100440150126814,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20190614T144037_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20190614T144037_aid0001_32N.tif,2019-06-14T14:40:37,2019-06-14,2019,6,14,14,40,37,2,16.0,evening,20190614T144037,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0198449455201625,-0.0754433274269104,-0.0955239757895469,0.6601117849349976,0.1481619328260421,-0.0914376154541969,-0.082638643682003,-0.0610148161649704,0.2860031723976135,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20190621T071621_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20190621T071621_aid0001_32N.tif,2019-06-21T07:16:21,2019-06-21,2019,6,21,7,16,21,2,9.0,morning,20190621T071621,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0334383472800254,0.022382840514183,0.017521834000945,0.1316579133272171,0.0266273766756057,0.0183175913989543,0.0203887987881898,0.0299999993294477,0.1058957055211067,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20190621T071621_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20190621T071621_aid0001_32N.tif,2019-06-21T07:16:21,2019-06-21,2019,6,21,7,16,21,2,9.0,morning,20190621T071621,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0961528420448303,-0.0342942327260971,-0.0765526443719863,0.6541333198547363,0.1917639523744583,-0.0675770416855812,-0.0531579963862896,0.3000000119209289,0.3709177374839782,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20200608T122800_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20200608T122800_aid0001_32N.tif,2020-06-08T12:28:00,2020-06-08,2020,6,8,12,28,0,2,14.0,midday_afternoon,20200608T122800,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0249359346926212,0.0245151333510875,0.0198929961770772,0.0287824887782335,0.0019705677404999,0.0212597530335187,0.0245151240378618,0.0269959960132837,0.0281454306095838,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20200608T122800_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20200608T122800_aid0001_32N.tif,2020-06-08T12:28:00,2020-06-08,2020,6,8,12,28,0,2,14.0,midday_afternoon,20200608T122800,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.024171233177185,-0.0286408364772796,-0.0764558240771293,0.5949360728263855,0.1390773952007293,-0.0709746703505516,-0.0565637350082397,0.0174311101436615,0.3299532532691955,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20200609T113922_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20200609T113922_aid0001_32N.tif,2020-06-09T11:39:22,2020-06-09,2020,6,9,11,39,22,2,13.0,midday_afternoon,20200609T113922,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0270302239805459,0.0264762416481971,0.0241935532540082,0.029457526281476,0.0012380175758153,0.0253571011126041,0.0264762341976165,0.0286148060113191,0.029160825535655,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20200609T113922_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20200609T113922_aid0001_32N.tif,2020-06-09T11:39:22,2020-06-09,2020,6,9,11,39,22,2,13.0,midday_afternoon,20200609T113922,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0310866273939609,-0.0284608453512191,-0.0763998031616211,0.3986549377441406,0.1453592926263809,-0.070935420691967,-0.0550601556897163,0.0195832792669534,0.3865104615688324,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20200610T105207_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20200610T105207_aid0001_32N.tif,2020-06-10T10:52:07,2020-06-10,2020,6,10,10,52,7,2,12.0,midday_afternoon,20200610T105207,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.029495308175683,0.0299999993294477,0.0254562869668006,0.0299999993294477,0.0012327657314017,0.0263462495058774,0.0299999993294477,0.0299999993294477,0.0299999993294477,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20200610T105207_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20200610T105207_aid0001_32N.tif,2020-06-10T10:52:07,2020-06-10,2020,6,10,10,52,7,2,12.0,midday_afternoon,20200610T105207,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3101265132427215,0.3000000119209289,0.3000000119209289,0.3984605967998504,0.0259588193148374,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.386180579662323,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20200612T105304_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20200612T105304_aid0001_32N.tif,2020-06-12T10:53:04,2020-06-12,2020,6,12,10,53,4,2,12.0,midday_afternoon,20200612T105304,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0297542680054903,0.0299999993294477,0.0278102811425924,0.0299999993294477,0.0005998644046485,0.0282207261770963,0.0299999993294477,0.0299999993294477,0.0299999993294477,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20200612T105304_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20200612T105304_aid0001_32N.tif,2020-06-12T10:53:04,2020-06-12,2020,6,12,10,53,4,2,12.0,midday_afternoon,20200612T105304,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.3101288974285126,0.3000000119209289,0.3000000119209289,0.3983134627342224,0.0259518567472696,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3859480321407318,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20200619T114557_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20200619T114557_aid0001_32N.tif,2020-06-19T11:45:57,2020-06-19,2020,6,19,11,45,57,2,13.0,midday_afternoon,20200619T114557,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0331662446260452,0.0331662483513355,0.0331662483513355,0.0331662483513355,3.725290298461914e-09,0.0331662483513355,0.0331662483513355,0.0331662483513355,0.0331662483513355,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20200619T114557_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20200619T114557_aid0001_32N.tif,2020-06-19T11:45:57,2020-06-19,2020,6,19,11,45,57,2,13.0,midday_afternoon,20200619T114557,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.2999999225139618,0.3000000119209289,0.3000000119209289,0.3000000119209289,8.940696716308595e-08,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20200627T083636_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20200627T083636_aid0001_32N.tif,2020-06-27T08:36:36,2020-06-27,2020,6,27,8,36,36,2,10.0,morning,20200627T083636,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0435889922082424,0.0435889922082424,0.0435889922082424,0.0435889922082424,0.0,0.0435889922082424,0.0435889922082424,0.0435889922082424,0.0435889922082424,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20200627T083636_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20200627T083636_aid0001_32N.tif,2020-06-27T08:36:36,2020-06-27,2020,6,27,8,36,36,2,10.0,morning,20200627T083636,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.2999999225139618,0.3000000119209289,0.3000000119209289,0.3000000119209289,8.940696716308595e-08,0.3000000119209289,0.3000000119209289,0.3000000119209289,0.3000000119209289,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20210602T135657_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20210602T135657_aid0001_32N.tif,2021-06-02T13:56:57,2021-06-02,2021,6,2,13,56,57,2,15.0,midday_afternoon,20210602T135657,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.014170479029417,0.0141701558604836,0.0141699304804205,0.0141719821840524,6.797324090257462e-07,0.0141699304804205,0.0141699407249689,0.0141714746132493,0.0141717148944735,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20210602T135657_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20210602T135657_aid0001_32N.tif,2021-06-02T13:56:57,2021-06-02,2021,6,2,13,56,57,2,15.0,midday_afternoon,20210602T135657,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0606896877288818,-0.074585422873497,-0.1013109236955642,0.3878138959407806,0.0772745162248611,-0.096066914498806,-0.0837119370698928,-0.072063073515892,0.0065959971398115,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20210603T130942_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20210603T130942_aid0001_32N.tif,2021-06-03T13:09:42,2021-06-03,2021,6,3,13,9,42,2,15.0,midday_afternoon,20210603T130942,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0173441302031278,0.0173439364880323,0.0173437874764204,0.0173450578004121,4.72725361078119e-07,0.0173437874764204,0.0173437912017107,0.0173448864370584,0.0173448864370584,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20210603T130942_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20210603T130942_aid0001_32N.tif,2021-06-03T13:09:42,2021-06-03,2021,6,3,13,9,42,2,15.0,midday_afternoon,20210603T130942,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0606782846152782,-0.07452854514122,-0.101349376142025,0.3842923939228058,0.0773822516202926,-0.0961128920316696,-0.083623431622982,-0.0720192715525627,0.0058679338544607,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20210613T100603_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20210613T100603_aid0001_32N.tif,2021-06-13T10:06:03,2021-06-13,2021,6,13,10,6,3,2,12.0,midday_afternoon,20210613T100603,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0098668467253446,0.0100385136902332,0.004899219609797,0.01004952006042,0.000715511967428,0.0089767910540103,0.0100385071709752,0.0100390473380684,0.0100494939833879,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20210613T100603_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20210613T100603_aid0001_32N.tif,2021-06-13T10:06:03,2021-06-13,2021,6,13,10,6,3,2,12.0,midday_afternoon,20210613T100603,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",-0.0143535463139414,-0.0763977766036987,-0.1056409552693367,0.7125014066696167,0.1638063788414001,-0.0970721542835235,-0.0829058662056922,-0.0550936199724674,0.3496726751327514,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20210617T083310_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20210617T083310_aid0001_32N.tif,2021-06-17T08:33:10,2021-06-17,2021,6,17,8,33,10,2,10.0,morning,20210617T083310,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0095601882785558,0.0111269690096378,0.0008832957828417,0.0141772888600826,0.0044289729557931,0.0009048044448718,0.0065320264548063,0.0132020870223641,0.0141772888600826,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20210617T083310_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20210617T083310_aid0001_32N.tif,2021-06-17T08:33:10,2021-06-17,2021,6,17,8,33,10,2,10.0,morning,20210617T083310,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0245654489845037,-0.0614071413874626,-0.097720094025135,0.8798475861549377,0.2005585134029388,-0.0839267745614051,-0.0716491490602493,-0.0012983593624085,0.5011844635009766,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20210621T070023_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20210621T070023_aid0001_32N.tif,2021-06-21T07:00:23,2021-06-21,2021,6,21,7,0,23,2,9.0,morning,20210621T070023,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0225482825189828,0.0228868834674358,0.0200194958597421,0.0245152097195386,0.0016086974646896,0.020020455121994,0.02104077860713,0.0239645428955554,0.0245152097195386,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI_20210621T070023_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI_20210621T070023_aid0001_32N.tif,2021-06-21T07:00:23,2021-06-21,2021,6,21,7,0,23,2,9.0,morning,20210621T070023,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0245654489845037,-0.0614071413874626,-0.097720094025135,0.8798475861549377,0.2005585134029388,-0.0839267745614051,-0.0716491490602493,-0.0012983593624085,0.5011844635009766,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
ndvi,data/NDVI/ECO_L2T_STARS.002_NDVI-UQ_20210626T044020_aid0001_32N.tif,ECO_L2T_STARS.002_NDVI-UQ_20210626T044020_aid0001_32N.tif,2021-06-26T04:40:20,2021-06-26,2021,6,26,4,40,20,2,6.0,morning,20210626T044020,filename_YYYYMMDDTHHMMSS,True,EPSG:32632,32632,8,313,GTiff,float32,,"[600000.0, 5158510.0, 600560.0, 5180420.0]",0.0199365150183439,0.0200247857719659,0.0192454550415277,0.0200248081237077,0.0002158388961106,0.0193796027451753,0.020024063065648,0.0200247876346111,0.0200248062610626,94,94,94,2504,100.0,100.0,70.0,-70.0,94,True,,0.002704958130701275
